# age bin between 140 and 260 Myrs ago
#     R      phi
#    kpc     deg
  13.8773   89.4842
  11.1716   32.1007
  10.5532  -20.2638
  12.5307   -4.1087
   9.2340   42.1634
  14.5910   15.0551
  11.8324   17.6272
   9.9566   21.7738
  11.1056   86.6738
   9.8999 -159.8514
  10.4350  -16.7348
  10.4555   52.2596
   8.4324 -169.6439
   8.9935   32.2567
   9.5716   18.3461
   8.3060   56.5629
  10.9129  -18.2117
  10.2549   24.3055
   8.8023   24.3004
   8.8523  178.8890
  12.5154   90.6487
   9.8949   49.5123
  13.7566    9.2441
  12.5087   41.6894
  13.0758   20.2280
   8.9374 -175.5194
  11.3714  -24.8831
   4.1437   15.5770
   9.8264   36.4445
   9.8374   61.9317
   7.8063    8.5719
  14.5565   27.3791
   9.5378   91.2086
  11.8510   67.9695
   9.3763   63.0561
  11.6265   60.7914
   9.5193   15.6343
  11.0695  -42.7592
  13.8992   73.4548
  14.8995   -4.6782
   8.6545   48.3357
  12.8273  -64.4990
  11.8164   38.0690
  10.4832   23.8170
  11.7032   10.4055
   8.6990   34.7590
  10.8529   84.0725
   9.0887   27.4533
  13.5206   19.4801
  14.0004   19.8900
  10.0555   33.5290
   1.1375 -120.6536
  14.3030  -12.5291
   8.8738   -1.7942
   9.1992   72.2594
  12.3196   91.6450
  11.9635   35.0731
   9.6148   23.2187
  10.8049  -15.3646
   6.9482  105.2468
  11.0386   57.4149
  13.5006  124.8088
  10.3642   25.8276
  11.3454  -22.1972
  13.9679   63.3601
  10.2446   15.7744
  12.4175   67.2572
  14.0649   72.1615
  14.5057   13.7452
  10.3265  -52.2006
  12.8412   32.3038
  10.6347   32.1856
  11.4598   52.1266
   8.0404    7.9488
   6.6714   32.9546
  13.9392  100.1596
  14.9737   19.1125
  14.5006  107.3199
  10.9787  -19.2297
  11.1943    3.4708
  10.1451   61.6718
  13.9245   71.5332
  10.6071   35.1201
  11.8334   12.0438
  13.9285  -11.1554
  13.9689   18.3938
  12.5098   82.9418
  10.7750   89.0329
  11.1286   17.4112
   8.6520   10.7804
  10.7432  -18.7813
  13.3065  -53.5366
   9.4215  -23.9884
  11.0929   -8.2715
  10.5390   29.7812
  13.1597   17.5354
  10.8854   29.7325
  11.0943  -27.0053
  10.5416   42.9720
  10.6022   18.9367
  12.3364  -17.5584
  12.3125  -13.9580
   8.9382  -25.9221
  14.2800   18.9728
  10.9794  -12.1221
  12.7508   12.5744
