# age bin between 90 and 140 Myrs ago
#     R      phi
#    kpc     deg
   8.5410   49.8736
  10.7123  -14.9098
  11.0709  -19.6081
   7.1590   65.4814
   9.9954   45.4270
  13.7233   13.6856
   8.7294   37.4567
   9.1710  -11.8752
  10.0966   86.1314
   8.1107   17.7151
   8.1879   27.3543
  11.7132  -36.6832
  10.9867   86.6735
   9.6242   17.0960
   7.4794   -8.7668
  10.4652   32.6845
   9.1285  -19.5989
   9.3785   24.1145
  12.5313  131.0421
  12.3873   52.4138
   8.1255   26.0271
   9.0834   33.7320
   7.8827  -28.5363
   8.9750   54.6897
   8.3387  -12.5111
   7.8074  -26.8148
   9.1885  -61.2929
   9.1150   43.2741
   8.3580  -48.4731
   9.7080  107.7566
  12.5096   45.8312
  10.1249  -17.1644
   7.7101  -28.4702
   8.0602    3.0429
   8.4790   46.7419
   9.6558  -54.8218
   8.0363  -21.1324
   7.2691 -108.4761
   8.3053   27.3565
   9.8705   -8.4961
  10.4517   13.2775
  11.1523  -13.4006
   8.0964  -14.0901
   8.1222   20.1364
  10.3203   -8.3587
  10.7651   59.4386
   8.9921   35.2621
   8.5962    6.3050
   7.7667   12.9294
  10.0365  -32.6093
   7.3786   43.9905
   7.9691   12.6446
   7.6042   21.7054
   9.3754   -4.8171
  10.8796   18.6016
   6.8386   38.2736
   8.2524   -4.6451
   4.4041  156.2786
   8.7004   36.4099
  14.7683   38.9550
  10.9911   33.5727
   8.8863   39.4451
   8.5550   55.5177
   9.6752   60.8418
  10.5897  -28.6595
   9.8525    4.8113
  10.2713  -14.5852
   8.6479   46.9338
   8.0251   32.0417
   5.9432  127.1890
   7.0194  -21.7646
  13.4948   67.4027
   9.0072   55.7938
   8.5036   28.7889
  13.4432  -11.2714
  10.5430   74.6699
  14.7709   36.3152
   7.3309   -9.6376
   7.3959    0.6922
  10.4862    1.6158
  10.3059   21.0537
   7.8944   15.3873
   8.7766   29.4924
   7.9386    4.2069
  13.9330   12.3149
   8.3934   -9.6625
   9.6291  -12.4429
  12.5733 -179.1659
   8.5378  -12.1186
   8.2311 -122.1236
  10.7706   32.3632
   9.5653  -14.3287
  10.1062   -9.2311
   8.9412  -10.6323
   7.9891   29.2543
   6.1011    2.0057
   8.4160  -47.7226
  10.8440   43.1592
  13.2031   17.8392
   7.7642    4.2662
  16.2510   -2.5629
  10.0742  -27.7978
   6.9599    7.0381
   7.2605   -5.5750
   8.7714  104.2625
   9.2499   45.6879
   7.8856   27.0814
   8.6437   83.8857
  10.7921   17.0057
   8.0026  -11.3576
   9.6788  -13.3505
   7.4271   11.6573
  12.9687   64.4828
  11.1515  -18.2113
   8.4997   24.5897
   9.5407   -9.3761
  10.0212   26.2751
   7.9732   23.7465
   6.7316   -4.6660
   8.9473   32.0713
   6.6600  -10.7218
  10.4919   78.0580
   7.5368  -14.5677
  10.9880   74.7134
   5.0118    8.1952
   9.5572  -31.4161
   9.6003   -5.5028
   8.1933   69.2359
   8.2718   53.2522
  13.3969   11.2252
  16.1008   92.7894
  12.3749 -167.4363
  10.7491  -14.7628
   9.6237  -22.5332
   9.0529   36.0401
  19.2478   61.2393
   9.5547  -13.5648
  10.5546   43.0532
   7.4302   75.8910
   8.4517    7.2830
   9.1016   67.7588
   7.4816    6.2988
   8.3779   39.7423
   9.9232   16.5459
   8.0905   14.5227
   9.6180   -3.7492
   5.3774   11.6890
   6.6002   -6.4840
   8.0440   -2.1602
  10.3124   47.0989
   8.4411   20.0902
   7.4769   -4.5705
   9.7028   45.9316
  10.0125   81.8162
   5.2321  -25.7633
   8.8964   38.8886
   6.7963  -39.2860
   6.3603   -9.3994
  10.5459   39.5792
   8.1435   -3.8128
  11.5832  -33.6568
   8.6559   42.9989
  12.0326   51.7603
  12.4636  -12.9822
   7.9862  -14.5834
   8.8292  -17.0591
  19.1834  133.2079
  12.2484   66.1902
  12.2223  -35.6202
  12.9265   66.6222
   9.2897   45.4672
  19.3128   89.7878
  10.7591  124.4522
   8.4373   33.8256
   7.8413   15.7280
  11.8431   88.7165
   9.2190    5.6384
   8.8369   -0.0313
  15.7907  -33.8114
   8.7527   34.4597
  11.0674   20.4195
  13.0633  -18.1181
   8.2456    6.8111
   9.0389   34.4446
   9.9583   31.7609
   8.9831  -49.1823
   8.1772   52.6268
   9.6609  -69.9125
   8.0265  -41.8172
   6.7007   46.7771
   9.2400  -19.8193
  10.0224  -15.6362
   9.5674   47.0690
   6.4164  165.7662
   9.0564   46.5727
  10.6480   18.3935
  11.5528   47.3393
   7.5091    0.3078
   8.8661   38.9601
   8.9390   45.9689
  11.3989  176.5482
  10.7214   27.8948
   9.1999   51.4518
   8.4705   31.8717
  13.8138   38.7957
  12.1753  -49.5935
  10.8079  129.7618
   8.0832   20.7901
  13.5161   -9.7461
   9.5885  -27.5711
   8.0294   16.1735
   8.8877   32.2509
   9.9983  -16.6083
  10.1557  -18.0452
   9.4167  -22.7889
   7.4825   43.8006
   8.6443   63.8608
  11.3067   56.9679
   9.2173    8.7163
   7.1644   24.4665
   7.6156   19.2066
   9.9475   61.5445
  12.9965   21.3767
  12.4246   12.6817
   9.6063   37.7508
   8.2795   26.9545
   9.6436   -8.8718
   9.0441   37.0215
   8.8730  -13.6718
   8.3077   44.1386
   9.5255   64.8378
  13.8729   34.0229
   8.6037   -7.6170
   8.1229   15.7407
   9.6062   64.5013
   9.1689   51.7033
  13.7144   31.7379
  10.1210   10.2115
   8.3624   23.2797
   9.3134   47.6485
   9.5754  -10.4494
  11.2346   66.9473
   9.7626  -26.0438
   9.6525  -73.7831
   6.2723 -120.0858
  10.4196  -13.8018
   9.1030   50.9769
  10.0043   53.3639
  15.2616   44.3385
  12.3770  -12.3705
   9.0163   14.3797
   7.5035   36.1229
   7.9607   26.2403
   8.5693   34.1007
  12.9594  -19.2393
   9.6280  -26.9248
   9.9742   87.0958
   8.3797   24.4440
   8.2130   29.4676
  10.7377   33.8481
   9.1960   27.6054
  10.7643  -20.2979
   9.3513   45.6005
  10.8220   66.4254
  12.0616  -11.0950
  10.1963  -25.2425
  11.4608   88.5412
   7.7084    8.0744
   8.4981  -15.1365
  12.4416  105.9171
  10.0842   70.2056
   8.5555   42.7493
  10.0551  -13.8285
   7.2915  121.0503
   7.3802   11.9375
