# age bin between 20 and 90 Myrs ago
#     R      phi
#    kpc     deg
   7.4277  -24.8582
   5.4576  -23.2710
   8.7339   43.6567
   7.1008  -18.1372
   5.2577    2.4090
   4.7241  -31.0585
   5.3525   40.6393
   8.3691   30.4221
   4.6128   59.4148
   0.4868   62.3766
   7.6004   85.3437
   9.1645  -52.2818
   5.7654  -19.4547
   8.1694   31.0715
   7.5905  -15.2753
   5.8748   71.3375
   8.0980  111.6102
   5.9250   -3.1950
   6.0773   76.0107
   5.8538   53.4409
  15.9778   48.5310
   6.8788   41.5600
   5.7741   63.4144
   4.2089   33.9070
   9.2007   78.4734
   4.8334  -32.9450
   8.2123   57.4713
  11.3136   88.5909
   9.1912   47.0117
   6.4386  -14.7013
   8.9587   10.3914
   9.4087  -56.1433
   4.2839  -35.8393
   5.0238   30.4934
   4.5103  -28.5781
   7.9308   10.6244
   5.7701   76.2200
   8.8688  -88.0186
  11.1079  -57.6789
  10.8036   87.2409
   5.0894   21.3459
   8.1954    3.6032
   6.8329   21.5653
   8.4704  105.4814
   4.9248   32.9321
   8.1526  -12.7302
   6.9066  -24.2096
   8.4157  -43.0269
   9.6895  -52.3944
   5.1250   20.4237
   3.5051   60.8105
  12.7810   54.6162
   3.8754  -89.4940
   5.4721   28.4342
   6.3091    6.5918
   4.4796  -74.2392
   9.3309  -21.7791
   7.9920   68.2438
   7.3616   49.8179
   8.0551   63.1942
   4.8310   69.2802
   3.5283   61.2054
  12.7345   96.0163
   7.2947   40.4328
   5.1042   28.6716
   4.4443   22.3758
   8.1328   17.6266
   4.2249  -40.1179
   4.7174   -7.6515
   9.6658   46.2025
   3.7335   13.9290
   4.3630 -103.2467
   8.4225  109.4929
   4.1580  -50.1656
   5.8971   -8.9242
   8.5536   56.5210
   9.4349    2.9829
   4.6929  -21.9218
   9.2963  -54.0350
   3.7937   39.6181
   3.3177   39.2853
   7.0054   25.4358
  10.2879  170.0570
   5.4456  -23.7960
   6.9847   58.1404
   8.9343   48.2500
   4.7861   28.0366
   6.9516   47.9184
  10.2326   13.7975
   5.1965   29.7170
  10.4660   31.2427
   6.1107   83.6749
   4.7813   21.9567
   8.5921   49.4906
   7.9116   27.3354
   2.3319 -134.6515
   6.5678   -3.2638
   2.6378  -51.6242
   8.7521   15.0653
   7.0151  -37.8260
   6.5961   -4.5410
   8.7187   44.3476
   8.7593   52.8367
   6.1458  -60.1140
   8.1758  -37.4609
   5.0005   31.1152
   5.6703   21.1887
   4.9393 -171.6556
   3.0649    4.6002
  14.3679   94.2479
   4.9449   22.7602
   8.7398  -50.1349
  10.9450   54.0641
   6.8977    0.7149
  10.8686   -5.9947
   4.9661   77.4292
  11.2186   21.9947
   6.6302   -8.0650
   4.9613  -13.7480
  15.7435  -11.0231
   7.2728   42.2125
   7.1180  -25.2267
   5.4366  -24.4203
   3.5995   20.5764
   6.3505  -16.4834
   6.0577   83.0766
   4.8179  -27.2235
   8.6765   44.1509
   8.5895    9.3761
   8.3894  -19.2636
   8.1618  -15.8441
   5.2980   17.6036
   6.7561  -43.3322
   5.3467   14.0491
  14.4458   74.7391
   4.9088   49.7725
   4.0589   29.7947
  11.1496 -165.0276
   6.5587  -21.5739
   6.9726 -169.8853
   7.2405   47.9117
   7.9723   12.9061
   5.6306  -18.2012
   6.6472   20.2439
   7.6224  -19.8015
   3.3657  118.2223
   8.7666   42.5621
   3.9851  -49.4023
   6.5007   19.3384
   8.1427  -55.9700
   8.0105   19.1511
   4.6621   60.3546
   6.9246   -8.6481
   6.4413   16.0830
   6.1959   34.6667
   6.2891   32.4177
   6.7465   44.8853
   7.3880   50.6980
   4.9299  -22.0104
   6.0389   25.6543
   7.7207   -1.6246
   5.3899   19.5960
   7.8528  -17.7303
   4.8379   12.6486
   6.7676    2.3529
   5.1036    6.5945
   3.3649   55.9732
   8.3807   44.8437
   7.7986   16.8759
   4.7497   -6.3579
   4.3082  -39.0059
   9.6622  -21.9114
